case_id,expected_rule_id,expected_proof_state,expected_corrective_action,expected_human_review_flag,predicted_rule_id,predicted_proof_state,validated_proof_state,proof_state_confidence,supporting_evidence,missing_evidence,evidence_matrix_json,framework_corrective_action,framework_case_file_summary,human_review_flag,unsupported_claim_flag,legal_validation_passed,evidence_completeness_score,rule_match_flag,model_variant,output_version
CASE_0251,BAS_R05,no_violation,Close preliminary review; retain compliance record,no,BAS_R05,no_violation,no_violation,0.869,regulated item and controlled action; valid evidence quality,none,"{""rule_applicability"":""yes"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0251: Basel-inspired case assessed as no violation based on regulated item and controlled action, valid evidence quality.",no,no,yes,0.947,yes,EnvLex-Lite,v1.0
CASE_0252,ROT_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,ROT_R02,probable_violation,probable_violation,0.577,regulated item and controlled action; document gap; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0252: Rotterdam-inspired case assessed as probable violation based on regulated item and controlled action, document gap, domestic/permit mapping available.",no,no,yes,0.895,yes,EnvLex-Lite,v1.0
CASE_0253,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.745,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0253: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.936,yes,EnvLex-Lite,v1.0
CASE_0254,MIN_R01,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R01,confirmed_violation,confirmed_violation,0.846,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_0254: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.868,yes,EnvLex-Lite,v1.0
CASE_0255,STO_R03,insufficient_evidence,Request additional evidence before enforcement classification,no,STO_R03,insufficient_evidence,insufficient_evidence,0.811,regulated item and controlled action,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,CASE_0255: Stockholm-inspired case assessed as insufficient evidence based on regulated item and controlled action.,no,no,yes,0.828,yes,EnvLex-Lite,v1.0
CASE_0256,BAS_R02,no_violation,Close preliminary review; retain compliance record,no,BAS_R02,no_violation,no_violation,0.824,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0256: Basel-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.899,yes,EnvLex-Lite,v1.0
CASE_0257,MON_R01,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R01,insufficient_evidence,insufficient_evidence,0.6,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0257: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.774,yes,EnvLex-Lite,v1.0
CASE_0258,MIN_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MIN_R01,probable_violation,probable_violation,0.707,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0258: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.867,yes,EnvLex-Lite,v1.0
CASE_0259,STO_R03,no_violation,Close preliminary review; retain compliance record,no,STO_R03,no_violation,no_violation,0.965,regulated item and controlled action; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0259: Stockholm-inspired case assessed as no violation based on regulated item and controlled action, valid evidence quality, domestic/permit mapping available.",no,no,yes,0.979,yes,EnvLex-Lite,v1.0
CASE_0260,BAS_R04,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R04,insufficient_evidence,insufficient_evidence,0.839,regulated item and controlled action; document gap; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0260: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action, document gap, domestic/permit mapping available.",no,no,yes,0.824,yes,EnvLex-Lite,v1.0
CASE_0261,MON_R03,no_violation,Close preliminary review; retain compliance record,no,MON_R05,human_review_required,human_review_required,0.639,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Escalate to human reviewer for legal and factual assessment,"CASE_0261: Montreal-inspired case assessed as human review required based on valid evidence quality, domestic/permit mapping available.",yes,yes,no,0.496,no,EnvLex-Lite,v1.0
CASE_0262,ROT_R04,no_violation,Close preliminary review; retain compliance record,no,ROT_R04,no_violation,no_violation,0.903,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0262: Rotterdam-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.887,yes,EnvLex-Lite,v1.0
CASE_0263,MON_R05,no_violation,Close preliminary review; retain compliance record,no,MON_R05,no_violation,no_violation,0.899,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0263: Montreal-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.889,yes,EnvLex-Lite,v1.0
CASE_0264,BAS_R04,probable_violation,Request missing support; issue provisional review notice; verify documents,no,BAS_R04,probable_violation,probable_violation,0.593,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0264: Basel-inspired case assessed as probable violation based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.922,yes,EnvLex-Lite,v1.0
CASE_0265,BAS_R05,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R05,confirmed_violation,confirmed_violation,0.93,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0265: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.902,yes,EnvLex-Lite,v1.0
CASE_0266,STO_R03,insufficient_evidence,Request additional evidence before enforcement classification,no,STO_R03,insufficient_evidence,insufficient_evidence,0.593,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0266: Stockholm-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance.",no,no,yes,0.853,yes,EnvLex-Lite,v1.0
CASE_0267,ROT_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,ROT_R03,probable_violation,probable_violation,0.658,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0267: Rotterdam-inspired case assessed as probable violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.946,yes,EnvLex-Lite,v1.0
CASE_0268,MIN_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R02,insufficient_evidence,insufficient_evidence,0.803,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0268: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.711,yes,EnvLex-Lite,v1.0
CASE_0269,MIN_R04,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MIN_R04,probable_violation,probable_violation,0.647,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0269: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.898,yes,EnvLex-Lite,v1.0
CASE_0270,ROT_R01,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R01,confirmed_violation,confirmed_violation,0.9,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_0270: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.97,yes,EnvLex-Lite,v1.0
CASE_0271,BAS_R04,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R04,confirmed_violation,confirmed_violation,0.943,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0271: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.979,yes,EnvLex-Lite,v1.0
CASE_0272,ROT_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,ROT_R02,insufficient_evidence,insufficient_evidence,0.7,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0272: Rotterdam-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.767,yes,EnvLex-Lite,v1.0
CASE_0273,MON_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R02,probable_violation,probable_violation,0.645,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0273: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.875,yes,EnvLex-Lite,v1.0
CASE_0274,BAS_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,BAS_R03,human_review_required,human_review_required,0.62,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""unverified"",""domestic_mapping"":""unclear"",""missing_critical_field"":""no"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0274: Basel-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance.",yes,no,yes,0.711,yes,EnvLex-Lite,v1.0
CASE_0275,MIN_R02,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R02,confirmed_violation,confirmed_violation,0.853,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_0275: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.916,yes,EnvLex-Lite,v1.0
CASE_0276,STO_R01,no_violation,Close preliminary review; retain compliance record,no,STO_R01,no_violation,no_violation,0.921,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0276: Stockholm-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.975,yes,EnvLex-Lite,v1.0
CASE_0277,BAS_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,BAS_R01,probable_violation,probable_violation,0.783,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0277: Basel-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.865,yes,EnvLex-Lite,v1.0
CASE_0278,MIN_R02,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,MIN_R02,human_review_required,human_review_required,0.794,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0278: Minamata-inspired case assessed as human review required based on regulated item and controlled action, domestic/permit mapping available.",yes,no,yes,0.778,yes,EnvLex-Lite,v1.0
CASE_0279,BAS_R02,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R02,confirmed_violation,confirmed_violation,0.953,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0279: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.893,yes,EnvLex-Lite,v1.0
CASE_0280,STO_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,STO_R03,probable_violation,probable_violation,0.764,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0280: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.86,yes,EnvLex-Lite,v1.0
CASE_0281,BAS_R04,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R04,confirmed_violation,confirmed_violation,0.924,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0281: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.976,yes,EnvLex-Lite,v1.0
CASE_0282,ROT_R02,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R02,confirmed_violation,confirmed_violation,0.94,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_0282: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.976,yes,EnvLex-Lite,v1.0
CASE_0283,STO_R01,no_violation,Close preliminary review; retain compliance record,no,STO_R01,no_violation,no_violation,0.853,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0283: Stockholm-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.947,yes,EnvLex-Lite,v1.0
CASE_0284,MIN_R05,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R05,insufficient_evidence,insufficient_evidence,0.582,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0284: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance.",no,no,yes,0.736,yes,EnvLex-Lite,v1.0
CASE_0285,BAS_R05,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R05,confirmed_violation,confirmed_violation,0.949,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0285: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.94,yes,EnvLex-Lite,v1.0
CASE_0286,MON_R03,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R03,insufficient_evidence,insufficient_evidence,0.803,regulated item and controlled action; document gap,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_0286: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, document gap.",no,no,yes,0.719,yes,EnvLex-Lite,v1.0
CASE_0287,MON_R05,no_violation,Close preliminary review; retain compliance record,no,MON_R05,no_violation,no_violation,0.935,regulated item and controlled action; valid evidence quality,none,"{""rule_applicability"":""yes"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0287: Montreal-inspired case assessed as no violation based on regulated item and controlled action, valid evidence quality.",no,no,yes,0.965,yes,EnvLex-Lite,v1.0
CASE_0288,MON_R05,no_violation,Close preliminary review; retain compliance record,no,MON_R05,no_violation,no_violation,0.863,regulated item and controlled action; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_0288: Montreal-inspired case assessed as no violation based on regulated item and controlled action, valid evidence quality, domestic/permit mapping available.",no,no,yes,0.937,yes,EnvLex-Lite,v1.0
CASE_0289,MIN_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MIN_R01,probable_violation,probable_violation,0.844,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0289: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.963,yes,EnvLex-Lite,v1.0
CASE_0290,STO_R01,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R05,probable_violation,probable_violation,0.493,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0290: Stockholm-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,yes,no,0.587,no,EnvLex-Lite,v1.0
CASE_0291,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.779,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_0291: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.955,yes,EnvLex-Lite,v1.0
CASE_0292,BAS_R04,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R03,human_review_required,human_review_required,0.506,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Escalate to human reviewer for legal and factual assessment,"CASE_0292: Basel-inspired case assessed as human review required based on regulated item and controlled action, document gap, threshold exceedance.",yes,yes,no,0.645,no,EnvLex-Lite,v1.0
CASE_0293,ROT_R05,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,ROT_R05,human_review_required,human_review_required,0.646,regulated item and controlled action; threshold exceedance,verified evidence-quality record; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""unverified"",""domestic_mapping"":""no"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_0293: Rotterdam-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance.",yes,no,yes,0.875,yes,EnvLex-Lite,v1.0
CASE_0294,BAS_R04,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R04,confirmed_violation,confirmed_violation,0.861,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_0294: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.967,yes,EnvLex-Lite,v1.0
CASE_0295,MON_R04,no_violation,Close preliminary review; retain compliance record,no,MON_R04,no_violation,no_violation,0.968,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_0295: Montreal-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.972,yes,EnvLex-Lite,v1.0
