case_id,rule_family,candidate_rule_id,entity_type,material_type,action_type,is_regulated_item,is_controlled_action,required_document_status,exemption_status,observed_value,legal_limit,unit,exceedance_ratio,evidence_quality,domestic_mapping_available,prior_warning,repeat_event,inspection_text,normalized_text_length_words,missing_critical_field,structured_text_conflict,rule_applicability,obligation_exists,factual_breach_indicator,evidence_complete,case_complexity_score,rule_logic_type,public_record_flag,deidentified
CASE_0653,Minamata-inspired,MIN_R05,importer,mercury_air_emission,release,yes,yes,unclear,unclear,0.0585,0.0438,mg/L,1.336,missing,yes,yes,no,Inspection note is incomplete and critical evidence could not be verified. Mercury value and laboratory evidence were examined.,18,yes,no,yes,yes,unknown,no,0.77,threshold-based,deidentified_rule_mapped,yes
CASE_0654,Basel-inspired,BAS_R05,waste_handler,spent_acid,movement,yes,yes,refused,not_applicable,2438.9,3952,kg,0.617,valid,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Hazardous waste movement trail was checked.,16,no,no,yes,yes,yes,yes,0.58,document-based,deidentified_rule_mapped,yes
CASE_0655,Basel-inspired,BAS_R02,chemical_exporter,waste_solvent,export,no,yes,available,not_applicable,578.2,528.6,kg,1.094,verified,not_required,no,yes,Inspection note confirms required record was available and no breach indicator was observed. Hazardous waste movement trail was checked.,19,no,no,no,yes,no,yes,0.31,document-based,deidentified_rule_mapped,yes
CASE_0656,Rotterdam-inspired,ROT_R03,importer,industrial_precursor,shipment,yes,yes,expired,not_applicable,568,1668.7,kg,0.34,partial,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Export consent record was reviewed.,14,yes,no,yes,yes,likely,partial,0.86,consent-based,deidentified_rule_mapped,yes
CASE_0657,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,yes,yes,refused,not_applicable,0.0366,0.0291,mg/L,1.258,verified,yes,yes,no,Inspection note states that required authorization was not produced during review. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,yes,yes,0.62,threshold-based,deidentified_rule_mapped,yes
CASE_0658,Stockholm-inspired,STO_R01,storage_operator,listed_POP,use,yes,yes,expired,invalid,413.7,464.9,kg,0.89,verified,yes,no,yes,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.48,exemption-based,deidentified_rule_mapped,yes
CASE_0659,Montreal-inspired,MON_R02,storage_operator,CFC_stock,production,yes,yes,expired,not_applicable,321.9,266.5,kg,1.208,valid,yes,yes,no,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.37,quota-based,deidentified_rule_mapped,yes
CASE_0660,Rotterdam-inspired,ROT_R02,industrial_facility,hazardous_chemical,cross_border_sale,yes,yes,partial,not_applicable,390,1152.5,kg,0.338,valid,yes,yes,yes,Officer remark reports partial document trail and possible controlled activity. Export consent record was reviewed.,15,yes,no,yes,yes,likely,partial,0.65,consent-based,deidentified_rule_mapped,yes
CASE_0661,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,no,yes,available,valid,0.0328,0.0438,mg/L,0.749,valid,yes,yes,no,Officer remark reports valid documentation and no threshold exceedance. Mercury value and laboratory evidence were examined.,16,no,no,no,yes,no,yes,0.55,threshold-based,deidentified_rule_mapped,yes
CASE_0662,Montreal-inspired,MON_R04,storage_operator,ODS_blend,sale,yes,yes,expired,not_applicable,311.9,146,kg,2.136,valid,yes,no,yes,Inspection note states that required authorization was not produced during review. ODS license and quota evidence were examined.,18,no,no,yes,yes,yes,yes,0.3,quota-based,deidentified_rule_mapped,yes
CASE_0663,Minamata-inspired,MIN_R03,industrial_facility,mercury_sludge,storage,yes,no,not_required,not_applicable,0.0147,0.022,mg/L,0.668,valid,not_required,no,no,Officer remark reports valid documentation and no threshold exceedance. Mercury value and laboratory evidence were examined.,16,no,no,no,no,no,yes,0.83,threshold-based,deidentified_rule_mapped,yes
CASE_0664,Basel-inspired,BAS_R01,storage_operator,hazardous_waste,movement,yes,yes,refused,not_applicable,144.3,1298.1,kg,0.111,valid,yes,yes,yes,Audit observation confirms breach indicators with supporting document gap. Hazardous waste movement trail was checked.,15,no,no,yes,yes,yes,yes,0.39,document-based,deidentified_rule_mapped,yes
CASE_0665,Minamata-inspired,MIN_R05,storage_operator,mercury_air_emission,release,yes,yes,refused,not_applicable,0.0647,0.0438,mg/L,1.477,verified,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Mercury value and laboratory evidence were examined.,17,no,no,yes,yes,yes,yes,0.79,threshold-based,deidentified_rule_mapped,yes
CASE_0666,Stockholm-inspired,STO_R05,chemical_exporter,restricted_flame_retardant,use,no,no,valid,valid,64.3,110,kg,0.585,verified,yes,no,yes,Officer remark reports valid documentation and no threshold exceedance. POP exemption and disposal status were examined.,16,no,no,no,yes,no,yes,0.85,exemption-based,deidentified_rule_mapped,yes
CASE_0667,Montreal-inspired,MON_R01,industrial_facility,controlled_ODS,import,yes,yes,unclear,not_applicable,783.6,719.3,kg,1.089,valid,yes,no,yes,Inspection note suggests likely breach but one supporting record remains incomplete. ODS license and quota evidence were examined.,18,yes,no,yes,yes,likely,partial,0.85,quota-based,deidentified_rule_mapped,yes
CASE_0668,Stockholm-inspired,STO_R02,industrial_facility,PCB_stock,storage,yes,yes,missing,invalid,66.4,180.8,kg,0.367,valid,yes,no,no,Officer remark indicates regulated activity continued despite missing consent evidence. POP exemption and disposal status were examined.,17,no,no,yes,yes,yes,yes,0.89,exemption-based,deidentified_rule_mapped,yes
CASE_0669,Stockholm-inspired,STO_R04,importer,POP_contaminated_material,treatment,yes,yes,partial,unclear,287.1,243.4,kg,1.18,missing,yes,no,yes,Officer remark reports missing record and unverified evidence quality. POP exemption and disposal status were examined.,16,yes,no,yes,unclear,unknown,no,0.53,exemption-based,deidentified_rule_mapped,yes
CASE_0670,Montreal-inspired,MON_R04,waste_handler,ODS_blend,sale,yes,yes,partial,not_applicable,190.1,146,kg,1.302,valid,yes,yes,yes,Inspection note suggests likely breach but one supporting record remains incomplete. ODS license and quota evidence were examined.,18,no,no,yes,yes,likely,partial,0.78,quota-based,deidentified_rule_mapped,yes
CASE_0671,Montreal-inspired,MON_R01,storage_operator,controlled_ODS,import,no,no,available,not_applicable,214.1,719.3,kg,0.298,verified,yes,no,yes,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,no,yes,no,yes,0.48,quota-based,deidentified_rule_mapped,yes
CASE_0672,Stockholm-inspired,STO_R03,waste_handler,obsolete_pesticide_POP,disposal,yes,yes,partial,invalid,399,376.5,kg,1.06,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. POP exemption and disposal status were examined.,16,no,no,yes,yes,likely,partial,0.33,exemption-based,deidentified_rule_mapped,yes
CASE_0673,Basel-inspired,BAS_R02,chemical_exporter,waste_solvent,export,yes,yes,missing,not_applicable,260.7,2285.4,kg,0.114,valid,yes,yes,no,Officer remark reports partial document trail and possible controlled activity. Hazardous waste movement trail was checked.,16,no,no,yes,yes,likely,partial,0.59,document-based,deidentified_rule_mapped,yes
CASE_0674,Rotterdam-inspired,ROT_R04,storage_operator,restricted_solvent,export,no,yes,valid,not_applicable,1064.9,909.4,kg,1.171,verified,not_required,no,yes,Officer remark reports valid documentation and no threshold exceedance. Export consent record was reviewed.,14,no,no,no,yes,no,yes,0.5,consent-based,deidentified_rule_mapped,yes
CASE_0675,Rotterdam-inspired,ROT_R03,waste_handler,industrial_precursor,shipment,yes,yes,unclear,not_applicable,146.6,1123.6,kg,0.13,valid,yes,no,yes,Audit observation indicates probable non-compliance pending final evidence verification. Export consent record was reviewed.,14,yes,no,yes,yes,likely,partial,0.38,consent-based,deidentified_rule_mapped,yes
CASE_0676,Minamata-inspired,MIN_R01,importer,mercury_release,release,yes,yes,unclear,unclear,0.0418,0.0413,mg/L,1.012,unverified,unclear,yes,no,Inspection note is incomplete and critical evidence could not be verified. Mercury value and laboratory evidence were examined.,18,yes,no,yes,unclear,unknown,no,1.03,threshold-based,deidentified_rule_mapped,yes
CASE_0677,Minamata-inspired,MIN_R05,chemical_exporter,mercury_air_emission,release,yes,yes,expired,not_applicable,0.0851,0.0438,mg/L,1.943,valid,yes,yes,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,likely,partial,0.74,threshold-based,deidentified_rule_mapped,yes
CASE_0678,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,yes,yes,expired,not_applicable,0.0809,0.0438,mg/L,1.847,valid,yes,yes,yes,Audit observation confirms breach indicators with supporting document gap. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,yes,yes,0.4,threshold-based,deidentified_rule_mapped,yes
CASE_0679,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,yes,yes,refused,not_applicable,0.0732,0.0438,mg/L,1.671,valid,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,yes,yes,0.55,threshold-based,deidentified_rule_mapped,yes
CASE_0680,Basel-inspired,BAS_R04,waste_handler,e_waste_residue,disposal_transfer,yes,yes,expired,not_applicable,5767.6,4554.3,kg,1.266,verified,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Hazardous waste movement trail was checked.,16,no,no,yes,yes,yes,yes,0.58,document-based,deidentified_rule_mapped,yes
CASE_0681,Basel-inspired,BAS_R01,waste_handler,hazardous_waste,movement,no,yes,not_required,not_applicable,1246.8,1147.1,kg,1.087,valid,yes,no,no,Inspection note confirms required record was available and no breach indicator was observed. Hazardous waste movement trail was checked.,19,no,no,no,no,no,yes,0.53,document-based,deidentified_rule_mapped,yes
CASE_0682,Rotterdam-inspired,ROT_R05,storage_operator,listed_formulation,cross_border_sale,yes,yes,refused,not_applicable,388.2,2102.4,kg,0.185,valid,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Export consent record was reviewed.,15,no,no,yes,yes,yes,yes,0.38,consent-based,deidentified_rule_mapped,yes
CASE_0683,Basel-inspired,BAS_R02,storage_operator,waste_solvent,export,no,no,not_required,valid,2933.4,2859.1,kg,1.026,verified,not_required,no,yes,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.58,document-based,deidentified_rule_mapped,yes
CASE_0684,Minamata-inspired,MIN_R05,storage_operator,mercury_air_emission,release,yes,yes,available,not_applicable,0.0199,0.0438,mg/L,0.454,valid,yes,no,yes,Officer remark reports valid documentation and no threshold exceedance. Mercury value and laboratory evidence were examined.,16,no,no,yes,no,no,yes,0.37,threshold-based,deidentified_rule_mapped,yes
CASE_0685,Minamata-inspired,MIN_R04,storage_operator,mercury_contaminated_effluent,treatment,yes,yes,partial,unclear,0.0538,0.0423,mg/L,1.272,valid,unclear,no,yes,Audit observation shows mixed evidence requiring human legal review. Mercury value and laboratory evidence were examined.,16,yes,yes,yes,unclear,likely,partial,0.75,threshold-based,deidentified_rule_mapped,yes
CASE_0686,Basel-inspired,BAS_R01,chemical_exporter,hazardous_waste,movement,yes,yes,expired,not_applicable,3969.3,4571.3,kg,0.868,verified,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Hazardous waste movement trail was checked.,16,no,no,yes,yes,yes,yes,0.55,document-based,deidentified_rule_mapped,yes
CASE_0687,Montreal-inspired,MON_R01,chemical_exporter,controlled_ODS,import,yes,yes,missing,not_applicable,1239.8,719.3,kg,1.724,partial,yes,yes,no,Inspection note suggests likely breach but one supporting record remains incomplete. ODS license and quota evidence were examined.,18,no,no,yes,yes,likely,partial,0.65,quota-based,deidentified_rule_mapped,yes
CASE_0688,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,yes,yes,partial,not_recorded,0.048,0.0438,mg/L,1.096,invalid,yes,no,no,Inspection note is incomplete and critical evidence could not be verified. Mercury value and laboratory evidence were examined.,18,yes,no,yes,yes,unknown,no,1.03,threshold-based,deidentified_rule_mapped,yes
CASE_0689,Stockholm-inspired,STO_R04,storage_operator,POP_contaminated_material,treatment,yes,yes,conflicting,not_recorded,506.4,470.7,kg,1.076,partial,no,yes,yes,Audit observation shows mixed evidence requiring human legal review. POP exemption and disposal status were examined.,16,no,yes,yes,unclear,likely,partial,0.9,exemption-based,deidentified_rule_mapped,yes
CASE_0690,Montreal-inspired,MON_R05,storage_operator,refrigerant_stock,import,yes,yes,expired,not_applicable,760.9,653.9,kg,1.164,valid,yes,no,no,Officer remark reports partial document trail and possible controlled activity. ODS license and quota evidence were examined.,17,yes,no,yes,yes,likely,partial,0.78,quota-based,deidentified_rule_mapped,yes
CASE_0691,Minamata-inspired,MIN_R03,chemical_exporter,mercury_sludge,storage,yes,yes,unclear,unclear,0.0208,0.022,mg/L,0.945,unverified,unclear,yes,yes,Audit observation lacks enough support for a confirmed legal conclusion. Mercury value and laboratory evidence were examined.,17,yes,no,yes,yes,unknown,no,1.04,threshold-based,deidentified_rule_mapped,yes
CASE_0692,Minamata-inspired,MIN_R05,importer,mercury_air_emission,release,yes,yes,unclear,not_recorded,0.0554,0.0438,mg/L,1.265,unverified,yes,yes,no,Officer remark reports missing record and unverified evidence quality. Mercury value and laboratory evidence were examined.,16,yes,no,yes,unclear,unknown,no,0.66,threshold-based,deidentified_rule_mapped,yes
CASE_0693,Minamata-inspired,MIN_R03,storage_operator,mercury_sludge,storage,yes,yes,missing,not_applicable,0.031,0.022,mg/L,1.409,valid,yes,yes,no,Officer remark reports partial document trail and possible controlled activity. Mercury value and laboratory evidence were examined.,17,yes,no,yes,yes,likely,partial,0.68,threshold-based,deidentified_rule_mapped,yes
CASE_0694,Minamata-inspired,MIN_R04,importer,mercury_contaminated_effluent,treatment,yes,yes,partial,conflicting,0.0321,0.0423,mg/L,0.759,unverified,no,no,yes,Inspection note conflicts with structured record and requires officer review. Mercury value and laboratory evidence were examined.,17,yes,yes,yes,yes,unknown,partial,0.8,threshold-based,deidentified_rule_mapped,yes
CASE_0695,Rotterdam-inspired,ROT_R04,chemical_exporter,restricted_solvent,export,yes,yes,missing,not_applicable,309.2,324.1,kg,0.954,valid,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.54,consent-based,deidentified_rule_mapped,yes
CASE_0696,Montreal-inspired,MON_R05,industrial_facility,refrigerant_stock,import,no,yes,not_required,not_applicable,267.5,653.9,kg,0.409,valid,not_required,yes,yes,Inspection note confirms required record was available and no breach indicator was observed. ODS license and quota evidence were examined.,20,no,no,no,no,no,yes,0.57,quota-based,deidentified_rule_mapped,yes
CASE_0697,Montreal-inspired,MON_R03,chemical_exporter,HCFC_batch,use,yes,yes,unclear,conflicting,127.6,125.8,kg,1.014,partial,yes,yes,yes,Inspection note conflicts with structured record and requires officer review. ODS license and quota evidence were examined.,17,yes,yes,yes,yes,likely,partial,0.54,quota-based,deidentified_rule_mapped,yes
CASE_0698,Rotterdam-inspired,ROT_R05,storage_operator,listed_formulation,cross_border_sale,yes,yes,partial,not_recorded,394.7,546.5,kg,0.722,unverified,yes,no,no,Officer remark reports missing record and unverified evidence quality. Export consent record was reviewed.,14,yes,no,yes,unclear,unknown,no,0.83,consent-based,deidentified_rule_mapped,yes
CASE_0699,Rotterdam-inspired,ROT_R03,chemical_exporter,industrial_precursor,shipment,yes,yes,invalid,not_applicable,1180.1,974.8,kg,1.211,verified,yes,yes,yes,Inspection note states that required authorization was not produced during review. Export consent record was reviewed.,16,no,no,yes,yes,yes,yes,0.49,consent-based,deidentified_rule_mapped,yes
CASE_0700,Stockholm-inspired,STO_R03,importer,obsolete_pesticide_POP,disposal,yes,yes,available,valid,334.6,405.6,kg,0.825,valid,yes,yes,no,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,yes,no,no,yes,0.51,exemption-based,deidentified_rule_mapped,yes
CASE_0701,Montreal-inspired,MON_R03,industrial_facility,HCFC_batch,use,yes,yes,missing,not_applicable,221.6,125.8,kg,1.762,verified,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.65,quota-based,deidentified_rule_mapped,yes
CASE_0702,Montreal-inspired,MON_R05,chemical_exporter,refrigerant_stock,import,no,no,not_required,valid,132.3,653.9,kg,0.202,verified,not_required,yes,no,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,no,yes,no,yes,0.47,quota-based,deidentified_rule_mapped,yes
CASE_0703,Stockholm-inspired,STO_R04,importer,POP_contaminated_material,treatment,yes,yes,expired,invalid,151.5,161.8,kg,0.936,valid,yes,no,yes,Officer remark reports partial document trail and possible controlled activity. POP exemption and disposal status were examined.,17,yes,no,yes,yes,likely,partial,0.5,exemption-based,deidentified_rule_mapped,yes
CASE_0704,Montreal-inspired,MON_R05,industrial_facility,refrigerant_stock,import,yes,yes,unclear,not_applicable,1222.1,653.9,kg,1.869,valid,yes,yes,no,Officer remark reports partial document trail and possible controlled activity. ODS license and quota evidence were examined.,17,no,no,yes,yes,likely,partial,0.65,quota-based,deidentified_rule_mapped,yes
CASE_0705,Rotterdam-inspired,ROT_R02,importer,hazardous_chemical,cross_border_sale,no,no,available,valid,921,1848.8,kg,0.498,valid,yes,no,no,Inspection note confirms required record was available and no breach indicator was observed. Export consent record was reviewed.,18,no,no,no,yes,no,yes,0.87,consent-based,deidentified_rule_mapped,yes
CASE_0706,Rotterdam-inspired,ROT_R04,storage_operator,restricted_solvent,export,yes,yes,invalid,not_applicable,681.8,2133.4,kg,0.32,valid,yes,no,no,Officer remark indicates regulated activity continued despite missing consent evidence. Export consent record was reviewed.,15,no,no,yes,yes,yes,yes,0.51,consent-based,deidentified_rule_mapped,yes
CASE_0707,Basel-inspired,BAS_R01,importer,hazardous_waste,movement,no,yes,valid,not_applicable,2033.1,2028.7,kg,1.002,verified,yes,yes,yes,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,no,no,yes,0.45,document-based,deidentified_rule_mapped,yes
CASE_0708,Montreal-inspired,MON_R03,chemical_exporter,HCFC_batch,use,yes,yes,missing,not_applicable,132.3,125.8,kg,1.052,valid,yes,no,no,Audit observation confirms breach indicators with supporting document gap. ODS license and quota evidence were examined.,16,no,no,yes,yes,yes,yes,0.31,quota-based,deidentified_rule_mapped,yes
CASE_0709,Rotterdam-inspired,ROT_R01,waste_handler,listed_pesticide,export,yes,yes,conflicting,not_recorded,194.2,536.3,kg,0.362,unverified,unclear,no,yes,Officer remark contains ambiguous mapping and unclear exemption status. Export consent record was reviewed.,14,yes,yes,yes,yes,unknown,partial,0.51,consent-based,deidentified_rule_mapped,yes
CASE_0710,Montreal-inspired,MON_R04,chemical_exporter,ODS_blend,sale,yes,yes,unavailable,unclear,191.4,146,kg,1.311,unverified,yes,no,yes,Inspection note is incomplete and critical evidence could not be verified. ODS license and quota evidence were examined.,18,yes,no,yes,yes,unknown,no,0.93,quota-based,deidentified_rule_mapped,yes
CASE_0711,Rotterdam-inspired,ROT_R03,importer,industrial_precursor,shipment,yes,yes,refused,not_applicable,1576,2260.6,kg,0.697,valid,yes,no,no,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.39,consent-based,deidentified_rule_mapped,yes
CASE_0712,Montreal-inspired,MON_R05,chemical_exporter,refrigerant_stock,import,yes,yes,invalid,not_applicable,1396.5,653.9,kg,2.136,verified,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. ODS license and quota evidence were examined.,16,no,no,yes,yes,yes,yes,0.63,quota-based,deidentified_rule_mapped,yes
CASE_0713,Stockholm-inspired,STO_R02,importer,PCB_stock,storage,yes,yes,expired,invalid,5.2,30.4,kg,0.171,valid,yes,yes,yes,Officer remark reports partial document trail and possible controlled activity. POP exemption and disposal status were examined.,17,yes,no,yes,yes,likely,partial,0.79,exemption-based,deidentified_rule_mapped,yes
CASE_0714,Minamata-inspired,MIN_R03,chemical_exporter,mercury_sludge,storage,yes,yes,partial,not_applicable,0.0312,0.022,mg/L,1.418,valid,yes,no,no,Officer remark reports partial document trail and possible controlled activity. Mercury value and laboratory evidence were examined.,17,yes,no,yes,yes,likely,partial,0.76,threshold-based,deidentified_rule_mapped,yes
CASE_0715,Stockholm-inspired,STO_R04,chemical_exporter,POP_contaminated_material,treatment,yes,no,not_required,valid,237,285,kg,0.832,verified,yes,yes,yes,Officer remark reports valid documentation and no threshold exceedance. POP exemption and disposal status were examined.,16,no,no,no,yes,no,yes,0.6,exemption-based,deidentified_rule_mapped,yes
CASE_0716,Rotterdam-inspired,ROT_R02,industrial_facility,hazardous_chemical,cross_border_sale,no,no,valid,not_applicable,1359.9,2420.2,kg,0.562,valid,not_required,no,yes,Officer remark reports valid documentation and no threshold exceedance. Export consent record was reviewed.,14,no,no,no,no,no,yes,0.88,consent-based,deidentified_rule_mapped,yes
CASE_0717,Basel-inspired,BAS_R05,waste_handler,spent_acid,movement,yes,yes,unclear,unclear,5590.5,4774.8,kg,1.171,invalid,yes,no,yes,Audit observation lacks enough support for a confirmed legal conclusion. Hazardous waste movement trail was checked.,16,yes,no,yes,unclear,unknown,no,0.64,document-based,deidentified_rule_mapped,yes
CASE_0718,Rotterdam-inspired,ROT_R05,chemical_exporter,listed_formulation,cross_border_sale,yes,yes,missing,not_applicable,803.2,2313,kg,0.347,valid,yes,yes,yes,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.37,consent-based,deidentified_rule_mapped,yes
CASE_0719,Stockholm-inspired,STO_R03,storage_operator,obsolete_pesticide_POP,disposal,yes,no,valid,not_applicable,31.4,79.4,kg,0.395,valid,not_required,no,yes,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,no,no,no,yes,0.45,exemption-based,deidentified_rule_mapped,yes
CASE_0720,Basel-inspired,BAS_R03,storage_operator,contaminated_sludge,transfer,yes,yes,not_required,valid,2863.7,4175.3,kg,0.686,verified,not_required,yes,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,yes,no,no,yes,0.31,document-based,deidentified_rule_mapped,yes
CASE_0721,Basel-inspired,BAS_R02,importer,waste_solvent,export,yes,yes,expired,not_applicable,1204.9,1018.8,kg,1.183,valid,yes,no,yes,Officer remark reports partial document trail and possible controlled activity. Hazardous waste movement trail was checked.,16,no,no,yes,yes,likely,partial,0.34,document-based,deidentified_rule_mapped,yes
CASE_0722,Basel-inspired,BAS_R03,industrial_facility,contaminated_sludge,transfer,yes,yes,invalid,not_applicable,1286.6,2913.2,kg,0.442,verified,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. Hazardous waste movement trail was checked.,15,no,no,yes,yes,yes,yes,0.46,document-based,deidentified_rule_mapped,yes
CASE_0723,Rotterdam-inspired,ROT_R01,industrial_facility,listed_pesticide,export,yes,yes,conflicting,conflicting,135.7,362.4,kg,0.374,partial,unclear,yes,no,Officer remark contains ambiguous mapping and unclear exemption status. Export consent record was reviewed.,14,yes,yes,yes,unclear,unknown,partial,0.56,consent-based,deidentified_rule_mapped,yes
CASE_0724,Stockholm-inspired,STO_R05,waste_handler,restricted_flame_retardant,use,yes,yes,unclear,invalid,45.2,302.5,kg,0.149,valid,yes,yes,no,Audit observation indicates probable non-compliance pending final evidence verification. POP exemption and disposal status were examined.,16,yes,no,yes,yes,likely,partial,0.76,exemption-based,deidentified_rule_mapped,yes
CASE_0725,Stockholm-inspired,STO_R01,waste_handler,listed_POP,use,yes,yes,missing,invalid,219.9,177.3,kg,1.24,valid,yes,yes,no,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.51,exemption-based,deidentified_rule_mapped,yes
CASE_0726,Basel-inspired,BAS_R04,industrial_facility,e_waste_residue,disposal_transfer,yes,yes,unclear,conflicting,1941.9,2011.5,kg,0.965,valid,unclear,yes,no,Inspection note conflicts with structured record and requires officer review. Hazardous waste movement trail was checked.,16,yes,yes,yes,yes,likely,partial,0.97,document-based,deidentified_rule_mapped,yes
CASE_0727,Minamata-inspired,MIN_R05,importer,mercury_air_emission,release,yes,yes,expired,not_applicable,0.0488,0.0438,mg/L,1.114,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Mercury value and laboratory evidence were examined.,16,yes,no,yes,yes,likely,partial,0.34,threshold-based,deidentified_rule_mapped,yes
CASE_0728,Stockholm-inspired,STO_R03,industrial_facility,obsolete_pesticide_POP,disposal,yes,yes,expired,invalid,18,80.3,kg,0.224,valid,yes,yes,no,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.3,exemption-based,deidentified_rule_mapped,yes
CASE_0729,Rotterdam-inspired,ROT_R05,storage_operator,listed_formulation,cross_border_sale,yes,yes,missing,not_applicable,274.4,1929.2,kg,0.142,valid,yes,no,no,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.34,consent-based,deidentified_rule_mapped,yes
CASE_0730,Stockholm-inspired,STO_R05,waste_handler,restricted_flame_retardant,use,yes,yes,partial,conflicting,423.6,490.3,kg,0.864,valid,unclear,no,no,Officer remark contains ambiguous mapping and unclear exemption status. POP exemption and disposal status were examined.,16,no,yes,yes,unclear,unknown,partial,1,exemption-based,deidentified_rule_mapped,yes
CASE_0731,Rotterdam-inspired,ROT_R02,chemical_exporter,hazardous_chemical,cross_border_sale,yes,yes,unclear,conflicting,1200.7,2216.6,kg,0.542,valid,yes,yes,yes,Inspection note conflicts with structured record and requires officer review. Export consent record was reviewed.,15,yes,yes,yes,unclear,unknown,partial,0.71,consent-based,deidentified_rule_mapped,yes
CASE_0732,Montreal-inspired,MON_R04,storage_operator,ODS_blend,sale,yes,yes,partial,not_applicable,174.3,146,kg,1.194,valid,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,yes,no,yes,yes,likely,partial,0.51,quota-based,deidentified_rule_mapped,yes
CASE_0733,Rotterdam-inspired,ROT_R04,importer,restricted_solvent,export,yes,yes,partial,not_applicable,612.7,1212.4,kg,0.505,partial,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Export consent record was reviewed.,14,yes,no,yes,yes,likely,partial,0.54,consent-based,deidentified_rule_mapped,yes
CASE_0734,Basel-inspired,BAS_R02,chemical_exporter,waste_solvent,export,yes,yes,unavailable,unclear,3016.7,2966.9,kg,1.017,missing,unclear,yes,no,Officer remark reports missing record and unverified evidence quality. Hazardous waste movement trail was checked.,15,yes,no,yes,unclear,unknown,no,0.67,document-based,deidentified_rule_mapped,yes
CASE_0735,Stockholm-inspired,STO_R02,waste_handler,PCB_stock,storage,yes,yes,invalid,invalid,177.4,276,kg,0.643,valid,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. POP exemption and disposal status were examined.,16,no,no,yes,yes,yes,yes,0.55,exemption-based,deidentified_rule_mapped,yes
CASE_0736,Stockholm-inspired,STO_R05,waste_handler,restricted_flame_retardant,use,yes,yes,unavailable,not_recorded,60.7,472.2,kg,0.129,missing,unclear,no,yes,Inspection note is incomplete and critical evidence could not be verified. POP exemption and disposal status were examined.,18,yes,no,yes,yes,unknown,no,0.68,exemption-based,deidentified_rule_mapped,yes
CASE_0737,Basel-inspired,BAS_R04,importer,e_waste_residue,disposal_transfer,yes,yes,available,valid,1130.9,4406.1,kg,0.257,valid,not_required,yes,yes,Officer remark reports valid documentation and no threshold exceedance. Hazardous waste movement trail was checked.,15,no,no,yes,no,no,yes,0.49,document-based,deidentified_rule_mapped,yes
